input_shapes,Hits,Samples,CPU time Us (sum)
"[[156,1,768],[156,1,3072],[768,3072],[768]]",212500,459,3362560185.1852
"[[256,1,1024],[256,1,4096],[1024,4096],[1024]]",76388.888888889,165,3360266666.6667
"[[17,128],[128,128],[128]]",84635185.185185,182812,3354518518.5185
"[[140,1,768],[140,1,768],[3072,768],[3072]]",246759.25925926,533,3349570833.3333
"[[],[],[1,4096],[2048,4096],[2048]]",833796.2962963,1801,3338938888.8889
"[[52,1,768],[52,1,512],[768,512],[768]]",3285185.1851852,7096,3322392129.6296
"[[256,1,256],[1024,256],[1024]]",1171759.2592593,2531,3317051851.8519
"[[113,1,768],[113,1,768],[3072,768],[3072]]",291666.66666667,630,3307548148.1481
"[[130,1,768],[130,1,768],[3072,768],[3072]]",270370.37037037,584,3306552314.8148
"[[186,1,768],[186,1,768],[3072,768],[3072]]",177314.81481481,383,3286562037.037
"[[1,200],[800,200],[800]]",98184722.222222,212079,3282813888.8889
"[[9,1,256],[9,1,256],[2048,256],[2048]]",6136111.1111111,13254,3276174537.037
"[[177,1,768],[177,1,768],[3072,768],[3072]]",180555.55555556,390,3256527777.7778
"[[135,1,768],[135,1,768],[3072,768],[3072]]",243981.48148148,527,3247374537.037
"[[121,1,768],[121,1,3072],[768,3072],[768]]",273148.14814815,590,3246351388.8889
"[[9,1,2048],[512,2048],[512]]",3194907.4074074,6901,3207208796.2963
"[[129,1,768],[129,1,3072],[768,3072],[768]]",244907.40740741,529,3195568981.4815
"[[10,1,512],[2048,512],[2048]]",2911111.1111111,6288,3194226388.8889
"[[146,1,768],[146,1,768],[3072,768],[3072]]",225462.96296296,487,3174831018.5185
