dev,name,batch_size,speedup,abs_latency
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",2.110725,3.460399
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.637842,6.921181
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.738640,18.870341
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.517277,5.187061
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.651773,23.566082
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.791876,69.736295
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.183927,17.575482
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.707622,89.393226
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.810677,272.275347
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",2.490487,2.869641
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.742013,6.539912
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.689972,19.456870
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.843512,4.233640
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.750399,22.323847
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.673533,74.705027
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.439294,14.530008
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.804791,84.615821
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.676737,294.023852
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",2.867002,2.405458
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.848571,6.122806
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.899153,17.205216
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.788191,4.207821
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.827937,21.236989
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.887497,66.143372
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.405258,14.769897
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.847918,82.544352
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.854751,265.742927
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",2.299149,3.105184
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.627951,6.990671
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.952120,16.828834
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.353606,5.826987
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.618725,24.104022
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.927229,64.882063
cuda,BERT_pytorch,"[(2, 256), (2, 1024), (2, 2048), (8, 256), (8, 1024), (8, 2048), (32, 256), (32, 1024), (32, 2048)]",1.033667,20.206691
